ID,time,latitude,longitude,drogue_lost_date,ve,vn,gap,typebuoy
116362,2015-01-02T04:00:00Z,29.29542,-58.07969,2014-08-19T00:00:00Z,0.1455,-0.0986,639.9166,SVP
116362,2015-01-02T05:00:00Z,29.29269,-58.07376,2014-08-19T00:00:00Z,0.1445,-0.0977,639.9166,SVP
116362,2015-01-02T06:00:00Z,29.28962,-58.06961,2014-08-19T00:00:00Z,0.1295,-0.0968,253.20834,SVP
116362,2015-01-02T07:00:00Z,29.28463,-58.06548,2014-08-19T00:00:00Z,0.1277,-0.1052,253.20834,SVP
116362,2015-01-02T08:00:00Z,29.28965,-58.06566,2014-08-19T00:00:00Z,0.0337,-0.0253,147.58333,SVP
116362,2015-01-02T09:00:00Z,29.27712,-58.06388,2014-08-19T00:00:00Z,0.0404,-0.1478,242.54167,SVP
116362,2015-01-02T10:00:00Z,29.27266,-58.0628,2014-08-19T00:00:00Z,0.0682,-0.1531,453.45834,SVP
116362,2015-01-02T11:00:00Z,29.26822,-58.06024,2014-08-19T00:00:00Z,0.0685,-0.156,453.45834,SVP
116362,2015-01-02T12:00:00Z,29.26326,-58.05789,2014-08-19T00:00:00Z,0.069,-0.1559,453.45834,SVP
116362,2015-01-02T13:00:00Z,29.25802,-58.05398,2014-08-19T00:00:00Z,0.1265,-0.147,133.66667,SVP
116362,2015-01-02T14:00:00Z,29.25262,-58.04837,2014-08-19T00:00:00Z,0.1604,-0.1959,116.083336,SVP
116362,2015-01-02T15:00:00Z,29.24611,-58.04178,2014-08-19T00:00:00Z,0.1921,-0.223,376.2083,SVP
116362,2015-01-02T16:00:00Z,29.23908,-58.03497,2014-08-19T00:00:00Z,0.192,-0.223,376.2083,SVP
116362,2015-01-02T17:00:00Z,29.23188,-58.02824,2014-08-19T00:00:00Z,0.2203,-0.2266,246.16667,SVP
116362,2015-01-02T18:00:00Z,29.22415,-58.01842,2014-08-19T00:00:00Z,0.2219,-0.2278,246.16667,SVP
116362,2015-01-02T19:00:00Z,29.21731,-58.01052,2014-08-19T00:00:00Z,0.2295,-0.2072,115.958336,SVP
116362,2015-01-02T20:00:00Z,29.21643,-58.00023,2014-08-19T00:00:00Z,0.2834,-0.0086,140.70834,SVP
116362,2015-01-02T21:00:00Z,29.21825,-57.98815,2014-08-19T00:00:00Z,0.3215,0.0897,130.04166,SVP
116362,2015-01-02T22:00:00Z,29.22299,-57.98554,2014-08-19T00:00:00Z,0.054,0.1312,253.20834,SVP
116362,2015-01-02T23:00:00Z,29.22584,-57.98397,2014-08-19T00:00:00Z,0.0571,0.1305,253.20834,SVP
116362,2015-01-03T00:00:00Z,29.23141,-57.97926,2014-08-19T00:00:00Z,0.3267,0.0187,126.58333,SVP
116362,2015-01-03T01:00:00Z,29.2313,-57.97123,2014-08-19T00:00:00Z,0.0309,0.0376,133.66667,SVP
116362,2015-01-03T02:00:00Z,29.23238,-57.97384,2014-08-19T00:00:00Z,0.0718,0.0442,523.7917,SVP
116362,2015-01-03T03:00:00Z,29.23369,-57.9695,2014-08-19T00:00:00Z,0.0577,0.0445,523.7917,SVP
116362,2015-01-03T04:00:00Z,29.23519,-57.96858,2014-08-19T00:00:00Z,0.0758,0.0441,523.7917,SVP
116362,2015-01-03T05:00:00Z,29.23684,-57.96686,2014-08-19T00:00:00Z,0.0997,0.0426,523.7917,SVP
116362,2015-01-03T06:00:00Z,29.23757,-57.96227,2014-08-19T00:00:00Z,0.1166,0.0157,253.20834,SVP
116362,2015-01-03T07:00:00Z,29.23752,-57.95789,2014-08-19T00:00:00Z,0.0138,-0.0369,277.79166,SVP
116362,2015-01-03T08:00:00Z,29.23538,-57.95925,2014-08-19T00:00:00Z,4.0E-4,-0.0452,277.79166,SVP
116362,2015-01-03T09:00:00Z,29.23368,-57.96135,2014-08-19T00:00:00Z,-0.0777,-0.0592,73.791664,SVP
116362,2015-01-03T10:00:00Z,29.23253,-57.96451,2014-08-19T00:00:00Z,-0.1026,-0.0214,196.95833,SVP
116362,2015-01-03T11:00:00Z,29.23129,-57.9653,2014-08-19T00:00:00Z,0.0638,-0.055,214.5,SVP
116362,2015-01-03T12:00:00Z,29.23025,-57.96476,2014-08-19T00:00:00Z,0.0482,-0.0516,214.5,SVP
116362,2015-01-03T13:00:00Z,29.22771,-57.96171,2014-08-19T00:00:00Z,0.0242,-0.0556,123.0,SVP
116362,2015-01-03T14:00:00Z,29.22768,-57.96401,2014-08-19T00:00:00Z,0.0236,0.0177,137.08333,SVP
116362,2015-01-03T15:00:00Z,29.23441,-57.96168,2014-08-19T00:00:00Z,0.0575,-0.0771,270.74997,SVP
116362,2015-01-03T16:00:00Z,29.2299,-57.96399,2014-08-19T00:00:00Z,0.0219,-0.0468,270.74997,SVP
116362,2015-01-03T17:00:00Z,29.22855,-57.96416,2014-08-19T00:00:00Z,0.0245,-0.0723,242.54167,SVP
116362,2015-01-03T18:00:00Z,29.22682,-57.95449,2014-08-19T00:00:00Z,0.1324,-0.0728,242.54167,SVP
116362,2015-01-03T19:00:00Z,29.2233,-57.95472,2014-08-19T00:00:00Z,-0.0167,-0.0928,267.16666,SVP
116362,2015-01-03T20:00:00Z,29.22042,-57.96004,2014-08-19T00:00:00Z,0.0404,-0.0944,267.16666,SVP
116362,2015-01-03T21:00:00Z,29.22096,-57.95773,2014-08-19T00:00:00Z,0.0124,-0.0747,66.75,SVP
116362,2015-01-03T22:00:00Z,29.21518,-57.95739,2014-08-19T00:00:00Z,-0.0323,-0.161,263.7083,SVP
116362,2015-01-03T23:00:00Z,29.20972,-57.95622,2014-08-19T00:00:00Z,0.0807,-0.2836,126.58333,SVP
116362,2015-01-04T00:00:00Z,29.20081,-57.95159,2014-08-19T00:00:00Z,0.1856,-0.2347,123.0,SVP
116362,2015-01-04T01:00:00Z,29.19416,-57.94488,2014-08-19T00:00:00Z,0.207,-0.1371,133.66667,SVP
116362,2015-01-04T02:00:00Z,29.19423,-57.95226,2014-08-19T00:00:00Z,-0.1443,-0.0322,116.083336,SVP
116362,2015-01-04T03:00:00Z,29.19075,-57.93613,2014-08-19T00:00:00Z,0.1244,-0.0542,435.91666,SVP
116362,2015-01-04T04:00:00Z,29.1888,-57.93149,2014-08-19T00:00:00Z,0.1248,-0.0539,435.91666,SVP
116362,2015-01-04T05:00:00Z,29.18736,-57.92783,2014-08-19T00:00:00Z,0.1316,-0.0562,435.91666,SVP
116362,2015-01-04T06:00:00Z,29.18562,-57.92268,2014-08-19T00:00:00Z,0.2325,-0.0706,246.16667,SVP
116362,2015-01-04T07:00:00Z,29.18327,-57.91445,2014-08-19T00:00:00Z,0.2357,-0.0483,253.20834,SVP
116362,2015-01-04T08:00:00Z,29.18243,-57.90491,2014-08-19T00:00:00Z,0.2366,-0.0467,253.20834,SVP
116362,2015-01-04T09:00:00Z,29.18052,-57.89843,2014-08-19T00:00:00Z,0.0206,-0.0035,172.20833,SVP
116362,2015-01-04T10:00:00Z,29.18397,-57.89792,2014-08-19T00:00:00Z,0.0236,0.0305,172.20833,SVP
116362,2015-01-04T11:00:00Z,29.18054,-57.8922,2014-08-19T00:00:00Z,0.079,-0.0632,334.04166,SVP
116362,2015-01-04T12:00:00Z,29.18064,-57.88987,2014-08-19T00:00:00Z,0.0822,-0.0606,334.04166,SVP
